name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
The 12th Can,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,12thcan.director@gmail.com,http://12thcan.tamu.edu,No,"The 12th Can Food Pantry intends to eliminate food insecurity on campus for students, faculty, and staff at Texas A&M University and to show others the power of the Aggie Spirit."
12th Law Man,"Pre-Law, Law",,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Social events,,Networking,Social,,Interest-driven,12thlawman@law.tamu.edu,,,"The purpose of the 12th Law Man is to preserve and promote the traditions of Texas A&M University School of Law through outreach and education. The 12th Law Man will seek to encourage the unity of our student body by providing opportunities for students to be involved in many of the time honored traditions of the Texas A&M University system, as well as traditions unique to the Texas A&M University School of Law."
180 Degrees Consulting TAMU,,,Undergrad,,,,,,,No,,Yes,Medium,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,texasam@180dc.org,http://180dctamu.com,No,180 Degrees Consulting's aim is to make a global social impact by enabling intelligent young people from around the world to provide advice to socially oriented organizations to help them solve their biggest challenges.
1st Battalion Staff,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Social events,,Networking,Social,,Interest-driven,caleba1105@tamu.edu,,,"First Battalion Staff is a part of the Texas A&M Corps of Cadets System. First Battalion Staff supports/oversees Companies A-2, B-1, F-2, and L-1."
1st Brigade,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,Leadership development,Professional,,Interest-driven,,https://sites.google.com/view/firstbrigade,,First Brigade develops well-educated leaders of character that are prepared for the global leadership challenges of the future and act as the premier example to peers across all domains.
1st Group Staff,,,"Undergrad Students, Professional Students, Graduate Students",,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,Projects,,Leadership development,Professional,,High commitment,,https://www.instagram.com/1stgrouptamu?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,No,"First Group will provide guidance, resources, and assistance to its outfits to enable them to carry out the Corps Mission of developing well-educated leaders of character who are prepared for the global challenges of the future."
1st Regiment,,,Undergraduate,,,,,,,No,,No,Low,Medium,0-20,Other,No,Yes,,Social events,,Networking,Social,,Interest-driven,,,,To support the mission of the Corps of Cadets using the ethos of the Navy/Marine Corps team as a reference. We are the Navy/Marine Corps section of the Corps.
1st Wing,,,Undergraduate,,,,,,,Yes,,No,Low,Medium,20-50,Other,Yes,Yes,,Competitions,,Networking,Very active,,High commitment,,,,The Wing will be composed of well-supported and connected outfits that operate to foster an environment that pushes the individual and unit towards a disciplined lifestyle and competitive improvement.
2D Visual Developers,"Art, Design, Architecture",,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,Networking,Social,,Interest-driven,2dvisdev@gmail.com,https://linktr.ee/2dvd,No,"To provide a space where those with a shared interest in comics, animation, graphic novels, and concept art can come together and create."
2nd Battalion Staff,,Undergraduate,Undergraduate,,,,,,,No,,Yes,High,Medium,20-50,Other,No,Yes,,Projects,,Leadership development,Very active,,High commitment,Jal7257@tamu.edu,,,"Develop Well Educated Leaders of Character, Honor and Integrity- prepared to ""Answer the Call""."
2nd Group Staff,,Undergraduate,Undergrad,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Projects,,Leadership development,Social,,Interest-driven,camille.2022@tamu.edu,https://www.facebook.com/2ndWing/,No,"2nd Group Staff's purpose is to lead and support Squadrons 1, 12, 16, 18, and 21 as they train and develop well-educated leaders within the Corps of Cadets."
3rd Battalion Staff,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,,https://www.facebook.com/TAMU3BDE/,,Third Brigade promotes a people-centric organization that cultivates engaged cadets focused on professional development and proactively pursuing success.
3rd Group Staff,,,Undergraduate,,,,,,,No,,Yes,Medium,Medium,20-50,Service,No,Yes,,Projects,,Leadership development,Professional,,High commitment,,https://www.facebook.com/ThirdWingFOW,No,"Third Wing prioritizes developing all cadets into purposeful leaders that are intentional in their actions. This will be accomplished by establishing an atmosphere that prioritizes respecting those around you, operating with integrity, and upholding high moral values."
The Legacy Project,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,texasamthelegacyproject@gmail.com,,No,"Inspired by the enduring George H. W. Bush legacy, we believe public service is a noble calling that requires courage, integrity, and a steadfast commitment to the public good. As students at the Bush School of Government & Public Service and Texas A&M University, we lead the effort to host an annual conference that unites students, staff, faculty, and alumni in meaningful dialogue, mentorship, and shared purpose around the future of public service."
4th Group Staff,,,"Junior, Senior",,,,,,,No,,Yes,Medium,Medium,20-50,Professional,No,Yes,,Projects,,Leadership development,Professional,,High commitment,aggiecorps@corps.tamu.edu,https://corps.tamu.edu/,No,"The 4th Group Staff within the Corps of Cadets cultivates leaders of distinction who exemplify values of Honor, Courage, Integrity, Discipline, and Selfless Service. 4th Group Staff focuses on promoting excellence and nurturing authentic leaders for the public and private sector."
5th Battalion Staff,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,Leadership development,Professional,,High commitment,,https://getinvolved.tamu.edu/org/5thbatt,,"5th Battalion Staff's purpose is to provide guidance and direction for members of the Corps of Cadets within 5th Battalion. Battalion Staff serves as a liaison for the NROTC Staff, the Commandants Office, and the Corps Commander in the distribution and implementation of policies and directives."
6th Battalion Staff,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Other,Yes,Yes,,Competitions,,Leadership development,Very active,,High commitment,nicole@tamu.edu,,,6th Battalion strives to be the most competitive Battalion in the Corps by leveraging every cadet and student capability for victory and fostering an environment where its members feel part of a genuine team equipped for the military or civilian world.
7th Battalion Staff,,,,,,,,,,No,,No,Low,Medium,20-50,Other,No,Yes,,Projects,,Leadership development,Professional,,Interest-driven,nnino827@tamu.edu,,,The purpose of 7th Battalion is to provide a more concentrated executive structure to satisfy the mission of the Corps of Cadets: The Corps of Cadets develops well-educated leaders of character prepared for the global leadership challenges of the future.
A Battery,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,abattemaillist@gmail.com,https://musa.tamu.edu/a-battery/,,A-Battery is a history-rich network of distinguished leaders who forge paths for others to succeed.
A&M Esports,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,Yes,Yes,,Competitions,,Networking,Social,,Interest-driven,tamu.esports.400@gmail.com,https://www.facebook.com/groups/AMEsports/,,"To create a welcoming, remarkable, and fulfilling environment for video game enthusiasts, while spearheading the collegiate esports sector by empowering our esports teams."
A&M Photography Club,,,Undergraduate,,,,,,,,,No,Low,Low,20-50,Creative,No,Yes,,"Social events, Projects",,Networking,Social,,Interest-driven,photographyclub.tamu@gmail.com,https://getinvolved.tamu.edu/org/photography-club,No,A&M Photography Club provides a more interconnected campus social network through photo sharing and collaboration among A&M students and A&M student groups while promoting awareness of the enriching opportunities available to all students.
A&M Street Medicine,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,,,,"Texas A&M Street Medicine exists to connect our local unhoused population with basic health care and community resources, facilitating access to social and health services. This initiative, led by volunteer medical students with physician supervision, is committed to upholding the dignity of the unhoused community through ongoing relationships and personalized attention."
A&M Students Promoting Innovation and Research Advancement,,,"Junior, Senior",,,,Bi-weekly,,MSC L-427,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Networking sessions, Professional development activities",,"Networking, Leadership development",Professional,,Interest-driven,aspiratamu@gmail.com,null,,"A&M Students Promoting Innovation and Research Advancement (ASPIRA) aims to empower students with research skills, knowledge, and opportunities through practical workshops, networking sessions, and professional development activities."
A&M United Methodist Church's College Ministry,,,Undergraduate,White,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,college@am-umc.org,https://www.facebook.com/groups/351344596831/,No,We strive to build connections with fellow students and fellow disciples of Christ.
A-Company Band,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Other,No,Yes,,Social events,,Leadership development,Social,,Interest-driven,acowolfpack@gmail.com,https://linktr.ee/acowolfpack,,"A-Company is one of the six companies that make up the Aggie Band in the Corps of Cadets. Our outfit will build men and women of character who relentlessly pursue their development as scholars, professionals, and leaders."
A-Line Magazine,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,Projects,,Networking,Social,,Interest-driven,thealinemag@gmail.com,http://www.thealinemag.com,No,"A-Line Magazine strives to enkindle the human spirit through self-expression and embolden all to excel beyond social norms. The A-Line team produces weekly content for the site and social media, as well as a semesterly print issue."
AAAR Student Chapter TAMU,,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Academic,No,Yes,,Projects,,Networking,Academic-focused,,Interest-driven,aaarsctamu@gmail.com,,,AAAR SC-TAMU aims to connect and serve intellectual interests of students pursuing aerosol research. It will also serve as a platform to communicate interdisciplinary scientific advances done in the field of aerosol research.
Academy of General Dentistry FellowTrack,,,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,Workshops,,Networking,Professional,,Interest-driven,,,,Student members can acquire continuing education credits for attending Academy of General Dentistry FellowTrack meetings that count towards a future fellowship in the AGD. AGD Fellowtrack hosts different lecturers on a variety of interesting topics in general dentistry. Members will receive dinner at every meeting.
Adventist Christian Fellowship,,,Undergraduate,White,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,tamu.acf@gmail.com,http://acf.tamu.edu,No,"ACF is a campus ministry for students, by students, fueled by our love for God and for each other. We strive to provide a ""home away from home"" where students can share their faith, make lasting friendships, and develop a deeper relationship and love for God."
Aerospace Engineering Graduate Student Association,Engineering,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,aegsa@tamu.edu,https://aegsa6.wixsite.com/aegsa,No,"Enrich the graduate experience for graduate students in the Aerospace Engineering department, act as liaisons between the graduate student body and the department, and organize social and academic activities."
Aesthetic and Cosmetic Dentistry Club,,,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,0-20,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Professional,,Interest-driven,acdcdentistry@gmail.com,,,"The purpose of the Aesthetic and Cosmetic Dentistry Club is to give dental students the opportunity and resources to learn, explore, promote awareness, and network within the field of aesthetic and cosmetic dentistry."
African Students Association,,,Undergraduate,"Black, African American",,,,,,No,,No,Low,Medium,20-50,Cultural,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,asalistseve@gmail.com,https://www.asatamu.com,No,"The purposes of the association are to foster understanding and unity among African students, promote academic and cultural activities, stimulate interaction among students, and assist incoming African students."
Aggie Accounting Association,"Business, Finance, Accounting",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Mentorship",Professional,,Interest-driven,aggieacctassociation@gmail.com,http://aggieaccounting.com,No,Our mission is to create a community at Texas A&M for students interested in accounting. We will seek to foster relationships between our members and equip them with the knowledge and skills to be better prepared for a career in accounting.
Aggie ACHIEVEMates,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Mentorship,Social,,Interest-driven,achievematespresident@gmail.com,https://aggieachievemates.wixsite.com/aggie-achievemates,No,"Aggie ACHIEVEMates seeks to support students enrolled in the Aggie ACHIEVE program, a four-year inclusive higher education opportunity for young adults with intellectual and developmental disabilities. Aggie ACHIEVEMates helps students accomplish the goals of the program and build relationships with them through individualized support and mentorship."
Aggie Adaptive Sports,,,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Sports,Yes,Yes,Open,Volunteering,,Networking,Very active,Yes,Interest-driven,,,No,"Our purpose is to facilitate adaptive sports as a healthy form of recreation to students, veterans, and community members in an effort to promote the physical and mental benefits that adaptive sports possess."
Aggie Advertising Club,,,"Junior, Senior",,,,,,,Yes,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events",,"Networking, Mentorship",Social,,Interest-driven,,,,To provide and promote a better understanding of the functions of advertising; to encourage advertising professionalism through advertising education; to develop the individual abilities of its members; and to promote fellowship and free exchange of ideas.
